

New Data Dump

PWR_MGM	ACC_CONF	GYR_CONF	SAM_RATE
0	0	8	100
TEMP	ACCX	ACCY	ACCZ	GYRX	GYRY	GYRZ
-2784	16600	-3192	-2220	-32	119	84
-2736	16572	-3312	-1964	-34	107	73
-2768	16552	-2820	-2052	-28	116	72
-2784	16584	-3284	-2360	-41	131	79
-2752	16528	-3084	-2212	-37	124	71
-2784	16532	-3320	-2148	-23	117	81
-2768	16612	-3276	-2064	-36	122	68
-2800	16532	-2992	-2160	-39	115	72
-2768	16496	-2916	-2204	-43	109	78
-2784	16520	-3080	-2284	-39	118	84
-2784	16500	-3276	-2240	-34	108	76
-2800	16588	-2864	-2184	-39	114	83
-2768	16544	-2856	-2112	-53	126	71
-2816	16564	-3024	-2072	-35	123	75
-2784	16624	-3144	-2388	-46	121	55
-2800	16616	-3328	-2196	-40	114	78
-3024	16496	-3116	-2128	-41	111	76
-2816	16484	-3308	-2088	-37	125	75
-2816	16528	-2928	-2188	-33	127	65
-2832	16624	-3144	-2152	-42	129	73
-3056	16600	-3132	-2164	-45	123	73
-3072	16396	-3084	-2088	-31	134	61
-2816	16628	-3072	-2152	-36	116	79
-2576	16544	-3120	-2144	-45	117	76
-2576	16588	-3120	-2052	-39	121	66
-3040	16752	-3124	-2104	-39	121	84
-2848	16596	-3312	-2268	-40	119	62
-2800	16636	-3124	-2156	-36	123	75
-2864	16552	-2832	-2284	-48	111	74
-2848	16512	-3324	-2428	-32	115	77
-2832	16876	-3316	-2124	-43	123	74
-2832	16516	-3256	-2268	-29	119	68
-2864	16568	-3120	-2056	-40	117	74
-2848	16552	-3160	-2268	-47	120	74
-2864	16572	-3072	-2064	-42	115	87
-2832	16616	-3168	-2104	-43	127	70
-2864	16856	-3104	-2032	-36	117	74
-2848	16600	-3116	-2240	-40	117	81
-2832	16532	-3084	-2196	-40	110	85
-2832	16392	-2900	-2168	-42	107	68
-2864	16596	-3148	-2140	-36	127	75
-2880	16392	-2912	-2160	-44	126	73
-2896	16584	-3312	-2152	-34	119	61
-2848	16540	-2824	-2180	-32	121	66
-2880	16608	-3080	-2216	-42	123	68
-2864	16472	-3128	-2064	-33	114	79
-2896	16536	-2840	-2128	-37	132	79
-2880	16580	-3328	-2188	-43	137	79
-2848	16596	-3084	-2132	-38	115	68
-2896	16544	-3304	-2468	-35	126	80
-2848	16596	-3312	-2208	-41	106	69
-2928	16620	-3260	-2152	-35	118	71
-2880	16456	-3328	-2300	-34	117	76
-2896	16852	-3092	-2128	-36	129	84
-2864	16516	-3088	-2184	-33	113	75
-2880	16532	-3316	-2232	-43	112	59
-2896	16400	-3264	-2188	-39	121	74
-2880	16408	-3084	-2144	-28	136	72
-2896	16540	-3084	-2204	-49	121	75
-2896	16820	-3116	-2292	-33	122	62
-2912	16624	-2860	-2276	-40	129	68
-2928	16544	-2844	-2104	-32	118	85
-2912	16776	-3148	-2244	-39	127	70
-2896	16544	-3000	-2148	-43	124	73
-2896	16648	-2880	-2272	-50	119	74
-2912	16564	-3132	-2292	-39	113	76
-2880	16568	-3124	-2140	-48	136	79
-2960	16556	-2852	-2128	-30	121	75
-2880	16612	-2996	-1916	-28	127	86
-2928	16568	-2860	-2044	-25	120	79
-2944	16404	-3096	-2216	-40	133	69
-2944	16568	-3108	-2064	-32	120	76
-2928	16384	-3236	-2104	-50	120	84
-2944	16580	-2828	-2228	-36	125	76
-2928	16552	-3116	-2092	-35	121	77
-2944	16504	-3112	-2220	-37	120	73
-2928	16512	-3176	-2096	-39	121	82
-2944	16520	-2880	-2136	-34	128	59
-2960	16572	-3048	-2128	-41	123	80
-2960	16580	-3088	-1800	-48	112	74
-2944	16580	-3080	-2080	-41	121	62
-2944	16552	-3132	-2164	-31	125	66
-2976	16464	-3156	-2128	-32	116	74
-2928	16452	-3096	-2180	-23	116	82
-2960	16600	-3284	-2076	-25	128	75
-2944	16600	-3080	-2164	-28	124	72
-2944	16500	-2848	-2228	-43	121	74
-2928	16532	-3120	-2176	-37	119	68
-2944	16872	-3112	-2220	-27	112	77
-2960	16552	-3316	-2012	-35	111	67
-2944	16584	-2860	-2068	-27	125	69
-2960	16584	-3284	-2440	-44	119	65
-2944	16580	-2828	-2108	-35	108	64
-2960	16384	-3128	-2196	-43	128	77
-2976	16484	-2840	-2120	-40	123	80
-2976	16504	-3076	-2300	-35	118	77
-2960	16504	-3276	-2156	-39	122	78
-2976	16608	-3100	-2128	-37	106	88
-2992	16520	-3304	-2496	-35	126	82
-3008	16572	-3088	-2228	-40	114	74
-2976	16628	-2876	-2332	-41	121	74
-2960	16544	-3140	-2156	-31	105	70
-3008	16572	-3124	-2248	-43	121	69
-2992	16616	-3300	-2212	-43	134	76
-2960	16528	-3108	-2292	-41	127	67
-2960	16508	-2928	-2200	-39	120	79
-3008	16476	-2860	-2220	-32	126	81
-2960	16644	-3080	-1872	-25	120	69
-3008	16540	-3076	-2192	-35	117	76
-3008	16384	-2820	-2440	-42	107	85
-2992	16508	-3060	-2188	-37	122	68
-3008	16464	-3324	-2152	-42	108	75
-2992	16556	-3088	-2224	-30	123	67
-2992	16628	-2836	-2052	-36	116	63
-3008	16512	-3068	-2128	-53	118	68
-2992	16568	-3260	-2160	-31	123	71
-2992	16500	-3312	-2224	-35	129	81
-3040	16560	-3144	-2164	-47	120	77
-2992	16488	-3132	-2112	-34	125	75
-3008	16580	-3100	-1972	-56	138	78
-2992	16568	-3056	-1868	-32	128	74
-3024	16464	-3104	-2108	-45	118	77
-3008	16568	-3324	-2108	-42	130	70
-3056	16556	-3164	-2264	-42	124	81
-3024	16520	-3228	-2292	-35	116	74
-3072	16560	-3296	-2200	-34	119	81
-3024	16516	-3104	-2084	-34	127	66
-3072	16624	-3312	-2228	-38	121	74
-3024	16608	-3000	-2100	-45	126	79
-3008	16552	-3136	-2148	-48	115	78
-3056	16612	-3012	-2124	-54	122	68
-3024	16392	-2872	-2240	-53	123	77
-3056	16560	-3280	-2172	-36	125	61
-3056	16564	-3096	-2456	-40	126	73
-3040	16520	-2876	-2196	-23	112	77
-3024	16528	-3144	-2080	-42	99	70
-3024	16520	-2868	-2156	-42	140	73
-3040	16884	-3308	-2108	-41	121	62
-3056	16528	-3168	-1804	-41	113	80
-3008	16856	-3276	-2060	-50	125	75
-3056	16504	-2880	-2184	-43	111	77
-3040	16628	-3052	-2196	-40	127	68
-3056	16536	-3108	-2200	-35	123	70
-3024	16528	-3088	-2240	-35	126	70
-3056	16592	-3152	-2120	-37	127	70
-3072	16516	-2932	-2136	-45	119	73
-3072	16612	-3300	-2260	-27	125	69
-3088	16472	-2908	-2108	-34	134	73
-3088	16496	-3168	-2280	-35	132	76
-3072	16572	-3112	-2080	-34	139	75
-3088	16572	-3060	-2124	-29	118	75
-3088	16568	-3328	-1936	-44	118	70
-3328	16612	-3120	-2260	-40	124	75
-2848	16560	-3104	-2156	-37	121	71
-3312	16592	-3164	-2200	-30	124	71
-2848	16592	-3132	-2360	-43	121	66
-3120	16384	-3272	-2216	-46	124	72
-3088	16512	-3156	-2168	-41	124	72
-3328	16516	-3152	-2160	-39	125	72
-3328	16568	-3284	-2196	-32	111	78
-3328	16532	-3208	-2108	-37	117	68
-3312	16520	-3172	-2112	-33	125	77
-3088	16504	-3084	-2276	-40	136	65
-3120	16628	-3076	-2108	-35	103	71
-3328	16540	-2876	-2268	-34	118	77
-3104	16596	-2820	-2188	-43	124	76
-3104	16604	-2840	-2072	-49	124	62
-3104	16576	-3088	-2152	-30	118	74
-3104	16572	-3176	-2216	-39	119	73
-3104	16512	-3056	-2212	-41	133	78
-3104	16608	-3024	-2152	-36	128	71
-3088	16608	-2964	-2128	-29	120	67
-3120	16612	-3104	-2240	-37	122	67
-3088	16624	-3028	-2204	-37	111	63
-3088	16548	-3312	-2096	-41	120	73
-2848	16616	-2892	-2052	-27	122	60
-3104	16536	-2872	-2168	-37	117	75
-3120	16516	-3288	-2240	-47	115	71
-3088	16584	-3112	-2100	-46	123	71
-3120	16524	-3164	-2172	-47	130	71
-3136	16592	-3084	-2132	-37	120	71
-3120	16552	-3044	-2080	-40	113	71
-3136	16644	-3140	-2164	-31	125	76
-3104	16532	-3132	-2224	-49	126	87
-3136	16532	-3124	-2144	-26	116	76
-3136	16596	-3300	-2060	-33	126	82
-3104	16516	-3160	-2168	-42	125	66
-3088	16544	-3216	-2232	-51	132	71
-3120	16544	-3308	-2116	-35	124	68
-3120	16572	-3072	-2300	-42	121	78
-3136	16612	-3304	-2292	-37	122	77
-3168	16576	-3108	-2108	-39	121	72
-3136	16596	-3168	-2288	-36	123	70
-3152	16580	-3180	-2188	-33	115	72
-3120	16604	-3088	-2056	-33	128	87
-3120	16596	-2868	-2092	-35	113	70
-3104	16524	-3304	-2208	-43	116	77
-3120	16540	-3124	-2164	-47	115	76
-3152	16580	-3324	-2140	-48	120	73
-3152	16396	-2900	-1800	-43	129	75
-3168	16552	-3040	-2120	-32	123	72
-3136	16524	-3100	-2116	-43	124	76
-3136	16608	-3148	-2228	-31	125	70
-3152	16532	-2860	-2112	-42	110	72
-3152	16524	-3172	-2092	-31	120	69
-3120	16560	-3236	-2188	-43	124	78
-3184	16528	-2868	-2108	-36	117	79
-3152	16600	-2880	-2296	-29	128	75
-3184	16560	-3308	-2112	-32	119	67
-3200	16528	-3320	-2388	-35	136	69
-3136	16596	-2920	-2272	-40	126	69
-3136	16540	-3152	-2172	-37	120	64
-3136	16528	-3324	-2188	-34	120	87
-3152	16560	-2864	-2260	-35	133	80
-3184	16612	-3100	-2196	-32	123	74
-3136	16496	-3112	-2068	-45	128	72
-3200	16536	-3308	-2188	-30	134	69
-3184	16560	-3016	-2180	-42	123	69
-3152	16580	-3224	-2184	-32	115	78
-3216	16616	-3064	-2300	-39	121	69
-3168	16516	-3156	-2128	-40	123	69
-3168	16604	-3096	-2144	-44	122	79
-3200	16516	-3276	-2224	-57	122	80
-3184	16552	-2820	-2132	-47	126	71
-3184	16564	-3080	-2080	-39	121	66
-3184	16532	-3100	-2056	-37	128	75
-3200	16536	-3148	-2224	-28	123	76
-3168	16832	-3048	-2176	-23	132	74
-3184	16596	-2868	-2188	-39	123	79
-3200	16808	-3168	-2064	-41	119	67
-3168	16544	-3048	-2196	-35	129	76
-3200	16556	-3312	-1900	-22	115	61
-3184	16624	-3104	-2176	-37	123	77
-3184	16560	-2820	-2164	-32	125	76
-3184	16568	-3168	-2112	-55	125	85
-3200	16388	-2852	-2204	-33	123	64
-3200	16644	-3312	-1824	-42	121	84
-3200	16544	-3120	-2180	-46	117	70
-3200	16600	-3168	-1804	-43	126	72
-3216	16608	-3320	-2096	-29	124	59
-3216	16616	-3092	-2272	-33	118	69
-3216	16564	-3100	-2088	-42	121	64
-3216	16832	-3288	-2128	-36	120	87
-3216	16428	-2852	-2136	-50	134	72
-3200	16580	-3140	-2296	-40	118	84
