
-2800	17112	-188	-1672	-67	-26	27
-2816	17200	-120	-1968	-67	-49	27
-2816	16928	-104	-1576	-77	-34	25
-2816	17092	-152	-1808	-80	-28	23
-2784	17276	-180	-1992	-69	-39	26
-2784	17136	-152	-1544	-69	-33	24
-2784	17224	-144	-2008	-65	-39	18
-2784	16992	-132	-1704	-80	-21	24
-2784	16940	-172	-2012	-69	-26	20
-2784	17200	-176	-2016	-76	-30	25
-2576	16968	-100	-1596	-72	-19	17
-2784	17048	-136	-1884	-74	-26	32
-2784	17232	-88	-1576	-77	-23	27
-2800	17240	-164	-1700	-82	-28	32
-2816	17348	-172	-1784	-75	-32	31
-2800	17128	-228	-1728	-72	-32	28
-2816	17124	-156	-1912	-70	-45	23
-2800	17360	-108	-1972	-68	-40	23
-2816	17060	-128	-2040	-68	-34	21
-2816	16916	-100	-1560	-73	-27	29
-2816	17364	-152	-1568	-70	-38	32
-2816	17080	-184	-1628	-77	-40	25
-2800	17372	-140	-1704	-72	-35	25
-2784	17100	-112	-1664	-66	-45	31
-2768	17088	-136	-1692	-67	-37	26
-2752	16904	-192	-1716	-68	-34	36
-2784	17348	-160	-1780	-79	-41	25
-2816	17116	-184	-1784	-64	-37	25
-2816	17368	-204	-1828	-71	-38	30
-2816	16948	-128	-1980	-75	-22	24
-2576	17332	-128	-1676	-72	-40	23
-2800	16968	-168	-1864	-69	-27	14
-3056	16896	-168	-1740	-79	-25	20
-3056	16936	-160	-1556	-75	-26	26
-2768	17388	-136	-1624	-66	-23	18
-2800	17340	-124	-1620	-80	-29	24
-2784	17100	-96	-1572	-68	-32	21
-2816	17096	-128	-1788	-71	-29	30
-2800	17360	-96	-1708	-80	-28	27
-3056	17384	-144	-1648	-67	-26	23
-2816	17384	-156	-1784	-72	-33	20
-3040	17336	-176	-1712	-70	-39	20
-2816	17196	-124	-1628	-71	-35	25
-2592	16972	-108	-1696	-71	-21	24
-2816	17268	-148	-1856	-66	-32	26
-2800	17180	-96	-1708	-69	-40	18
-2576	16904	-184	-1740	-73	-32	25
-2784	16904	-188	-1804	-65	-27	25
-3056	17208	-192	-1560	-76	-31	25
-3056	17316	-168	-1752	-64	-34	27
-2816	17116	-200	-2020	-72	-34	28
-2832	17108	-116	-1984	-73	-37	19
-2816	17224	-144	-1708	-75	-29	22
-2592	16912	-132	-1812	-65	-46	32
-2784	17096	-136	-1616	-75	-40	23
-2800	16940	-164	-1764	-69	-30	23
-2800	17184	-176	-1852	-70	-35	29
-2784	17072	-200	-1772	-83	-32	22
-2800	17128	-116	-1960	-69	-31	36
-3040	17088	-144	-1652	-78	-39	27
-2816	16924	-156	-1764	-68	-28	34
-2800	17300	-376	-1792	-77	-26	31
-2784	17144	-176	-1708	-72	-25	26
-2800	17164	-28	-1648	-72	-38	20
-2848	17080	-160	-1800	-75	-16	14
-2816	17288	-164	-1828	-63	-41	30
-2800	16936	-200	-1756	-65	-21	19
-2816	17112	-92	-1644	-76	-33	32
-2800	16940	-112	-1732	-82	-47	27
-3040	17380	-84	-1992	-73	-27	23
-2832	16920	-128	-1832	-65	-32	23
-2784	17096	-184	-1552	-68	-30	14
-2576	16916	-128	-1752	-70	-20	27
-3056	17036	-176	-1576	-70	-34	29
-2576	17384	-200	-1664	-63	-44	9
-2816	17116	-160	-1780	-77	-39	17
-2816	17372	-232	-1768	-72	-32	26
-2800	16968	-128	-1828	-71	-34	34
-2784	17092	-128	-1568	-80	-36	22
-2800	17132	-32	-1872	-71	-38	32
-2784	16928	-36	-1740	-73	-30	27
-2816	17120	-116	-1780	-68	-26	18
-2800	17100	-120	-1768	-73	-30	22
-2800	17056	-112	-1728	-64	-29	18
-2800	17396	-156	-1796	-86	-36	23
-2816	16936	-124	-1564	-68	-40	24
-2816	16960	-180	-1704	-74	-35	29
-2800	17108	-144	-1960	-68	-42	33
-2816	17376	-160	-1716	-74	-31	20
-2784	16996	-128	-1812	-76	-31	31
-2784	17164	-56	-1832	-77	-29	28
-2800	17056	-92	-1560	-72	-32	24
-2816	17272	-200	-1908	-72	-32	25
-2832	17204	-88	-1660	-73	-55	36
-2800	17156	-152	-1840	-64	-29	11
-2576	16944	-192	-1768	-62	-15	25
-2816	16976	-228	-1696	-76	-26	32
-2784	17160	-148	-1764	-74	-37	34
-2800	16924	-200	-1716	-78	-36	35
-2784	17168	-172	-1656	-72	-41	28
-3056	17168	-100	-1784	-80	-42	38
-2816	17096	-176	-1716	-59	-23	30
-2816	16964	-96	-1872	-63	-33	28
-2800	16896	-212	-1616	-73	-36	22
-2816	17100	-244	-1740	-60	-33	32
-3072	17140	-156	-1732	-58	-38	22
-3072	17012	-112	-1544	-73	-35	28
-2816	17404	-144	-1812	-73	-29	30
-2800	17360	-72	-1664	-78	-34	33
-2832	17164	-72	-1700	-73	-34	26
-2816	17336	-204	-1636	-72	-27	33
-3072	17184	-92	-1564	-66	-21	40
-3072	17088	-180	-1916	-82	-24	26
-2592	17144	-108	-1644	-73	-35	24
-2800	17156	-172	-1888	-70	-49	21
-2800	17336	-156	-1708	-75	-21	23
-2816	16916	124	-1640	-74	-53	32
-2816	17140	-144	-1704	-65	-19	20
-2832	17188	-192	-1720	-70	-40	29
-2784	16944	-132	-1792	-69	-44	24
-2816	17236	-192	-1568	-80	-37	18
-2848	16968	-104	-1748	-77	-27	20
-2592	17068	-184	-1772	-76	-31	24
-2576	17080	-196	-1612	-60	-41	37
-3072	17064	-220	-1588	-79	-18	30
-2816	16912	-184	-1672	-83	-25	28
-2784	17152	-112	-1812	-84	-31	26
-3040	17140	-208	-1776	-61	-37	29
-3056	17164	-28	-1704	-69	-25	30
-2816	17196	-96	-1624	-77	-34	21
