TEMP	ACCX	ACCY	ACCZ	GYRX	GYRY	GYRZ
-1984	-6776	-9756	-12052	1546	1007	1980
-1936	-7524	-9992	-11888	2059	1149	2125
-1936	-7272	-9912	-11268	2401	2439	3160
-1952	-8676	-10344	-10612	3050	2940	3507
-1952	-9060	-10036	-9788	2631	3187	2910
-1952	-9096	-9928	-10000	1196	2676	1891
-1968	-8392	-10044	-11712	319	2290	768
-1952	-5892	-10196	-11184	540	1115	587
-1936	-4660	-11780	-12136	1117	1585	1439
-1920	-5512	-10536	-13040	1200	1728	1458
-1936	-5060	-9736	-12564	989	1462	612
-1920	-5104	-10976	-12976	1300	1244	1140
-1952	-5472	-10300	-12804	1118	1006	2161
-1952	-5480	-10088	-12260	1098	821	1648
-1968	-8164	-12052	-13072	556	1175	820
-1968	-8600	-10540	-9832	668	347	410
-1920	-8260	-11728	-9848	1514	1226	824
-1968	-7884	-9984	-10688	406	1258	917
-1952	-8612	-9872	-10000	615	442	338
-1952	-8532	-10536	-10640	-74	383	-45
-1936	-8788	-13068	-12988	-80	338	-588
-1952	-7372	-10772	-11612	-753	-516	832
-1952	-6560	-10776	-10716	567	672	722
-1968	-6300	-9700	-11956	399	90	-763
-1936	-6356	-9920	-11300	-196	-152	49
